param Im:=	79;  #numero de clusters		
param Jm:=	4;   #numero de plantas		
param Km:=	12;  #numero de patrones		
param Tm:=	52;  #Numero de periodos		
param Dm:=	7;   #numero de días por semana		
param Rm:=	24;  #numero de pilas.  		
			
param F:=			
1	998868264
2	928934573
3	919241118
4	911168825;			
			
param A:			
	1	2	3	4:=	
1	4230	4323	4260	9212	
2	6548	6641	6004	10919	
3	6387	6480	5843	10836	
4	4425	4518	3881	8797	
5	4595	4688	4051	8844	
6	4196	4289	3652	8568	
7	3879	3972	3335	8250	
8	4706	4799	4162	9089	
9	4159	4252	3615	8531	
10	4534	4628	3991	8905	
11	4316	4409	3772	8687	
12	4060	4153	3516	8432	
13	3806	3899	3262	8174	
14	3879	3972	3335	8252	
15	3983	4077	3440	8355	
16	3889	3982	3345	8324	
17	3841	3934	3297	8212	
18	3834	3927	3290	8175	
19	4261	4354	3717	8635	
20	3731	3824	3187	8102	
21	3212	3305	3088	8003	
22	3661	3754	3537	8453	
23	3826	3920	3283	8197	
24	4232	4325	3688	8602	
25	3757	3850	3213	8128	
26	4478	4571	3934	8846	
27	3483	3576	2939	7897	
28	4923	5016	4380	9292	
29	3451	3544	3327	8243	
30	2997	3090	2873	7796	
31	3550	3644	3427	8243	
32	3429	3522	3305	8096	
33	3513	3606	3390	8147	
34	3348	3441	3224	7999	
35	3150	3244	3027	7798	
36	4047	4140	3924	8700	
37	3238	3331	3114	8049	
38	3245	3339	3122	7962	
39	3635	3728	3512	8427	
40	3422	3515	3298	8213	
41	3214	3307	3090	8006	
42	3242	3335	3119	8039	
43	3762	3855	3639	8554	
44	3079	3172	2956	7857	
45	3107	3200	2999	7473	
46	3274	3368	3310	7657	
47	3706	3799	3582	8498	
48	2848	2941	2725	7663	
49	3162	3256	3039	7956	
50	3745	3838	3622	8546	
51	3005	3098	2881	7783	
52	3260	3353	3322	7624	
53	3363	3457	3240	8155	
54	5203	5296	5080	9994	
55	2755	2848	2810	7122	
56	3594	3687	3471	8388	
57	2792	2885	2822	7162	
58	5359	5452	5235	10150	
59	3360	3453	3443	7727	
60	2603	2696	2753	6952	
61	3177	3270	3408	7504	
62	4362	4455	4560	8876	
63	4166	4259	4042	8959	
64	3412	3505	3675	7771	
65	3186	3279	2503	7546	
66	3531	3625	3906	7891	
67	3435	3529	3860	7781	
68	4974	5068	5216	9344	
69	3504	3597	2822	7867	
70	5128	5221	4342	9487	
71	3315	3409	3683	7685	
