set I:= 1..79;  #set of clusters																																																																														
set J:=	1..4;   #set of sites																																																																													
set T:=	1..52;  #set of periods																																																																														
set R{j in J}:=	1..30;  #set of piles																																																																														
			
#plant costs																																																																												
param F:=																																																																															
1	10626260																																																																														
2	9882280																																																																														
3	9779160																																																																														
4	9693290;																																																																														


#collection costs																																																																															
param A:																																																																																
	1	2	3	4	:=																																																																										
1	33	34	34	82																																																																											
2	52	53	46	94																																																																											
3	51	52	45	94																																																																											
4	37	38	32	81																																																																											
5	39	40	34	81																																																																											
6	37	38	32	80																																																																											
7	36	37	31	79																																																																											
8	36	37	31	80																																																																											
9	36	37	31	79																																																																											
10	35	36	30	79																																																																											
11	36	37	31	80																																																																											
12	35	36	30	79																																																																											
13	35	36	30	78																																																																											
14	34	35	29	78																																																																											
15	34	35	29	78																																																																											
16	35	36	30	79																																																																											
17	34	35	29	77																																																																											
18	35	36	31	79																																																																											
19	34	35	29	78																																																																											
20	33	34	27	76																																																																											
21	29	30	28	76																																																																											
22	29	30	28	76																																																																											
23	34	35	29	78																																																																											
24	35	36	30	78																																																																											
25	34	35	29	77																																																																											
26	34	34	28	76																																																																											
27	34	34	28	77																																																																											
28	33	34	28	76																																																																											
29	30	31	29	77																																																																											
30	28	29	26	75																																																																											
31	32	33	31	78																																																																											
32	31	32	30	77																																																																											
33	31	32	30	77																																																																											
34	31	32	29	76																																																																											
35	30	31	29	76																																																																											
36	30	31	28	75																																																																											
37	28	29	27	75																																																																											
38	29	30	27	75																																																																											
39	27	28	26	74																																																																											
40	27	28	26	74																																																																											
41	28	29	26	75																																																																											
42	27	28	25	74																																																																											
43	27	28	25	74																																																																											
44	26	27	24	72																																																																											
45	27	28	26	71																																																																											
46	26	27	26	69																																																																											
47	27	28	25	74																																																																											
48	26	27	24	73																																																																											
49	26	27	25	73																																																																											
50	24	25	24	72																																																																											
51	25	26	24	72																																																																											
52	25	27	26	69																																																																											
53	25	26	24	72																																																																											
54	24	25	24	72																																																																											
55	24	25	25	67																																																																											
56	24	25	24	72																																																																											
57	24	25	24	68																																																																											
58	24	24	23	71																																																																											
59	24	25	25	68																																																																											
60	23	24	24	65																																																																											
61	23	24	24	65																																																																											
62	23	24	24	67																																																																											
63	32	33	31	79																																																																											
64	26	27	29	69																																																																											
65	27	28	21	70																																																																											
66	26	27	30	70																																																																											
67	25	26	30	68																																																																											
68	24	25	27	67																																																																											
69	28	29	22	72																																																																											
70	28	29	21	72																																																																											
71	24	24	27	67																																																																											
72	22	23	25	64																																																																											
73	23	24	26	66																																																																											
74	24	24	25	67																																																																											
75	24	24	25	67																																																																											
76	23	24	26	66																																																																											
77	35	36	30	78																																																																											
78	28	29	26	74																																																																											
